                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.68937,                0.92493,                0.86103,                0.98883,                      1,                  0.995,                 0.7772,                0.76937,                0.65573,                0.84775,              0.0005942,              0.0005942,              0.0005942
                     73,                0.62433,                 1.6502,                0.66193,                0.98867,                      1,                  0.995,                0.85191,                0.64193,                0.61111,                0.84061,              0.0005744,              0.0005744,              0.0005744
                     74,                0.67153,                0.81256,                0.90886,                0.98867,                      1,                  0.995,                0.85191,                0.64193,                0.61111,                0.84061,              0.0005546,              0.0005546,              0.0005546
                     75,                0.72227,                0.81555,                0.84222,                0.98918,                      1,                  0.995,                 0.8955,                0.52577,                0.59063,                0.82264,              0.0005348,              0.0005348,              0.0005348
                     76,                0.51336,                 1.5704,                0.61842,                0.98918,                      1,                  0.995,                 0.8955,                0.52577,                0.59063,                0.82264,               0.000515,               0.000515,               0.000515
                     77,                0.67126,                0.97173,                0.83447,                0.98931,                      1,                  0.995,                 0.8955,                0.49689,                0.58527,                0.80361,              0.0004952,              0.0004952,              0.0004952
                     78,                0.63604,                0.77849,                0.83121,                0.98931,                      1,                  0.995,                 0.8955,                0.49689,                0.58527,                0.80361,              0.0004754,              0.0004754,              0.0004754
                     79,                0.80377,                0.84227,                0.90359,                0.98911,                      1,                  0.995,                 0.8955,                0.51418,                0.55204,                0.79167,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.6752,                0.77457,                0.83882,                0.98911,                      1,                  0.995,                 0.8955,                0.51418,                0.55204,                0.79167,              0.0004358,              0.0004358,              0.0004358
                     81,                0.69577,                 0.8863,                0.90325,                0.98925,                      1,                  0.995,                 0.8955,                0.52636,                0.55353,                0.79586,               0.000416,               0.000416,               0.000416
                     82,                 0.7097,                0.91146,                0.87003,                0.98925,                      1,                  0.995,                 0.8955,                0.52636,                0.55353,                0.79586,              0.0003962,              0.0003962,              0.0003962
                     83,                0.53584,                 1.5268,                0.64464,                0.98954,                      1,                  0.995,                 0.8955,                0.47826,                0.53299,                0.79528,              0.0003764,              0.0003764,              0.0003764
                     84,                0.68232,                0.80952,                0.85614,                0.98954,                      1,                  0.995,                 0.8955,                0.47826,                0.53299,                0.79528,              0.0003566,              0.0003566,              0.0003566
                     85,                0.74486,                0.78138,                0.85336,                0.98966,                      1,                  0.995,                0.90778,                0.45741,                0.53741,                0.80787,              0.0003368,              0.0003368,              0.0003368
                     86,                0.64329,                0.78471,                0.85558,                0.98966,                      1,                  0.995,                0.90778,                0.45741,                0.53741,                0.80787,               0.000317,               0.000317,               0.000317
                     87,                0.58564,                 1.5356,                0.61655,                0.98977,                      1,                  0.995,                0.90778,                0.45027,                0.51996,                 0.8073,              0.0002972,              0.0002972,              0.0002972
                     88,                0.64106,                0.82712,                0.87527,                0.98977,                      1,                  0.995,                0.90778,                0.45027,                0.51996,                 0.8073,              0.0002774,              0.0002774,              0.0002774
                     89,                0.64422,                0.79556,                0.89192,                0.98992,                      1,                  0.995,                0.90778,                0.47693,                0.53825,                 0.8024,              0.0002576,              0.0002576,              0.0002576
                     90,                 0.6279,                0.80555,                0.85727,                0.98992,                      1,                  0.995,                0.90778,                0.47693,                0.53825,                 0.8024,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.6511,                0.95987,                 0.8402,                0.98988,                      1,                  0.995,                0.94504,                0.47944,                0.52761,                0.79617,               0.000218,               0.000218,               0.000218
                     92,                 0.7727,                 1.1715,                0.84561,                0.98988,                      1,                  0.995,                0.94504,                0.47944,                0.52761,                0.79617,              0.0001982,              0.0001982,              0.0001982
                     93,                0.63238,                0.98544,                0.78473,                0.98968,                      1,                  0.995,                0.90778,                0.46054,                0.51023,                0.78827,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.6252,                0.94327,                0.91417,                0.98968,                      1,                  0.995,                0.90778,                0.46054,                0.51023,                0.78827,              0.0001586,              0.0001586,              0.0001586
                     95,                0.62237,                0.97249,                0.86059,                0.98959,                      1,                  0.995,                 0.8955,                 0.4566,                0.50962,                0.78468,              0.0001388,              0.0001388,              0.0001388
                     96,                0.60909,                0.92272,                 0.9173,                0.98959,                      1,                  0.995,                 0.8955,                 0.4566,                0.50962,                0.78468,               0.000119,               0.000119,               0.000119
                     97,                0.65685,                0.88075,                0.87153,                0.98962,                      1,                  0.995,                 0.8955,                0.48235,                 0.5164,                0.78833,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.63545,                0.91548,                 0.8576,                0.98962,                      1,                  0.995,                 0.8955,                0.48235,                 0.5164,                0.78833,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.65347,                 1.0265,                  0.934,                 0.9896,                      1,                  0.995,                 0.8955,                0.50985,                0.51842,                0.79256,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.63547,                0.91073,                0.84155,                 0.9896,                      1,                  0.995,                 0.8955,                0.50985,                0.51842,                0.79256,               3.98e-05,               3.98e-05,               3.98e-05
